waypoint_id,x,y
135,-513.0,163.0
136,-515.0,163.0
137,-517.0,163.0
138,-519.0,163.0
139,-521.0,163.0
140,-523.0,163.0
141,-525.0,163.0
142,-527.0,163.0
143,-529.0,163.0
144,-531.0,163.0
145,-533.0,163.0
146,-535.0,163.0
147,-537.0,163.0
148,-539.0,163.0
149,-541.0,163.0
150,-543.0,163.0
151,-545.0,163.0
152,-547.0,163.0
153,-549.0,163.0
154,-551.0,163.0
155,-553.0,163.0
156,-555.0,163.0
157,-557.0,163.0
158,-559.0,163.0
159,-561.0,163.0
160,-561.0,165.0
161,-561.0,167.0
162,-559.0,167.0
163,-557.0,167.0
164,-555.0,167.0
165,-553.0,167.0
166,-551.0,167.0
167,-549.0,167.0
168,-547.0,167.0
169,-545.0,167.0
170,-543.0,167.0
171,-541.0,167.0
172,-539.0,167.0
173,-537.0,167.0
174,-535.0,167.0
175,-533.0,167.0
176,-531.0,167.0
177,-529.0,167.0
178,-527.0,167.0
179,-525.0,167.0
180,-523.0,167.0
181,-521.0,167.0
182,-519.0,167.0
183,-517.0,167.0
184,-515.0,167.0
185,-513.0,167.0
186,-511.0,167.0
187,-509.0,167.0
188,-507.0,167.0
189,-505.0,167.0
190,-503.0,167.0
191,-501.0,167.0
192,-499.0,167.0
193,-497.0,167.0
194,-495.0,167.0
195,-493.0,167.0
196,-491.0,167.0
197,-489.0,167.0
198,-487.0,167.0
199,-485.0,167.0
200,-483.0,167.0
201,-481.0,167.0
202,-479.0,167.0
203,-477.0,167.0
204,-475.0,167.0
205,-473.0,167.0
206,-471.0,167.0
207,-469.0,167.0
208,-467.0,167.0
209,-465.0,167.0
210,-463.0,167.0
211,-461.0,167.0
212,-459.0,167.0
213,-457.0,167.0
214,-455.0,167.0
215,-453.0,167.0
216,-451.0,167.0
217,-449.0,167.0
218,-447.0,167.0
219,-445.0,167.0
220,-443.0,167.0
221,-441.0,167.0
222,-439.0,167.0
223,-437.0,167.0
224,-435.0,167.0
225,-433.0,167.0
226,-431.0,167.0
227,-429.0,167.0
228,-427.0,167.0
229,-425.0,167.0
230,-423.0,167.0
231,-421.0,167.0
232,-419.0,167.0
233,-417.0,167.0
234,-415.0,167.0
235,-413.0,167.0
236,-413.0,169.0
237,-413.0,171.0
238,-415.0,171.0
239,-417.0,171.0
240,-419.0,171.0
241,-421.0,171.0
242,-423.0,171.0
243,-425.0,171.0
244,-427.0,171.0
